# Slots
ceremonial_torso;Ceremonial Gown;Robe de cérémonie;Zeremonielles Kleid;;Vestimenta ceremonial;;;;;;;;;x
magnum_opus_theurgy_ritual_2_desc;This Magnum Opus of excellent quality contains many secrets of ritualistic Theurgy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une grande qualité contient de nombreux secrets de théurgie ritualiste, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von hervorragender Qualität enthält viele Geheimnisse der rituellen Theurgie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad excelente, alberga numerosos secretos de rituales teúrgicos, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_theurgy_ritual_3;Magnum Opus on Ritualistic Theurgy;Magnum opus de théurgie ritualiste;Rituelle Theurgie III;;Magnum opus sobre rituales teúrgicos;;;;;;;;;x
magnum_opus_theurgy_ritual_3_desc;This Magnum Opus of extraordinary quality contains many secrets of ritualistic Theurgy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une qualité extraordinaire contient de nombreux secrets de théurgie ritualiste, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von außerordentlicher Qualität enthält viele Geheimnisse der rituellen Theurgie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad extraordinaria, alberga numerosos secretos de rituales teúrgicos, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_theurgy_ritual_4;Magnum Opus on Ritualistic Theurgy;Magnum opus de théurgie ritualiste;Rituelle Theurgie IV;;Magnum opus sobre rituales teúrgicos;;;;;;;;;x
magnum_opus_theurgy_ritual_4_desc;This masterpiece Magnum Opus contains many secrets of ritualistic Theurgy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus, un chef-d'oeuvre, contient de nombreux secrets de théurgie ritualiste, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses meisterhafte Magnum Opus enthält viele Geheimnisse der rituellen Theurgie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, una verdadera obra maestra, alberga numerosos secretos de rituales teúrgicos, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
maladies_and_remedies;Common Maladies and their Remedies;Maladies courantes et leurs remèdes;Häufige Krankheiten;;Dolencias comunes y sus remedios;;;;;;;;;x
maladies_and_remedies_desc;Whether your affliction be external or internal, this medical text has at least one chapter of interest to you.;Que votre affliction soit externe ou interne, ce texte médical aura au moins un chapitre qui vous intéresse.;Egal, ob das Leiden äußerlich oder innerlich ist, dieser medizinische Text hat mindestens ein interessantes Kapitel darüber.;;Ya tengas una dolencia interna o externa, este texto médico tiene al menos un capítulo que te interesará.;;;;;;;;;x
military_strategy_guide;Military Strategy, according to [From.OriginalOwner.GetBestName];Stratégie militaire, par [From.OriginalOwner.Get_only_le_Title][From.OriginalOwner.GetBestName];Militärstrategie;;Estrategia militar según [From.OriginalOwner.GetBestName];;;;;;;;;x
military_strategy_guide_desc;The ingenuity of [From.OriginalOwner.Culture.GetName] military, as seen through the eyes of a [From.OriginalOwner.GetTitle] in charge of them. An inspiration to any military unit.;L'ingéniosité de la pratique militaire [From.OriginalOwner.Culture.GetName], vue par un[From.OriginalOwner.Get_E] [From.OriginalOwner.GetTitle] en charge. Une source d'inspiration pour tout soldat.;Der Einfallsreichtum des [From.OriginalOwner.Culture.GetName]en Militärs in den Augen [From.OriginalOwner.Getdesder] verantwortliche[From.OriginalOwner.GetnMale] [From.OriginalOwner.GetTitle]. Eine Inspiration für jede militärische Einheit.;;La inventiva del ejército [From.OriginalOwner.Culture.GetName], vista a través de los ojos del [From.OriginalOwner.GetTitle] a su mando. Una inspiración para cualquier unidad militar.;;;;;;;;;x
mjolnir;Mjolnir;Mjolnir;Mjolnir;;Mjolnir;;;;;;;;;x
mjolnir_desc;A strangely short-hafted hammer that looks as if it might have been flawed during production. It bears a striking resemblance to the hammer wielded by Thor, the Thundergod, as told in myth.;Un marteau étrangement court dont on pourrait croire que sa création a été défectueuse. Il a une ressemblance frappante avec le marteau de Thor, le Dieu du Tonnerre, comme dit dans le mythe.;Ein Hammer mit ungewöhnlich kurzem Stiel, der beinahe so wirkt, als handele es sich um einen Fehler bei der Fertigung. Er weist eine unverkennbare Ähnlichkeit mit dem Hammer auf, den der Donnergott Thor den Mythen zufolge verwendet.;;Un martillo extrañamente corto que da la sensación de ser defectuoso. Tiene un parecido sorprendente con el martillo manejado por Thor, el dios del trueno, tal y como lo describe la leyenda.;;;;;;;;;x
modest_measures;Modest Measures;Mesures modestes;Bescheidene Maßnahmen;;Medidas modestas;;;;;;;;;x
modest_measures_desc;'All things in moderation', [From.OriginalOwner.GetTitledFirstName] begins [From.OriginalOwner.GetHerHis] treatise on culinary house-holding. The typical inhabitant of [From.OriginalOwner.GetHerHis] court is rumored to have found the text a bit much.;'Tout est dans la modération', ainsi commence le traité [From.OriginalOwner.Get_du_TitledFirstName] sur la cuisine familiale. L'habitant typique de sa cour aurait trouvé le texte un peu exagéré.;Mit "Alles in Maßen genießen" beginnt die Abhandlung von [From.OriginalOwner.GetTitledFirstName] über kulinarische Maßnahmen. Der gemeine Bürger [From.OriginalOwner.GetHerHis]es Hofes hat den Text allerdings offensichtlich als ein bisschen viel empfunden.;;'Todo con moderación', comienza [From.OriginalOwner.GetTitledFirstName] su tratado sobre cocina doméstica. Se rumorea que el miembro medio de su corte veía el texto algo excesivo.;;;;;;;;;x
modest_measures_desc_rename;'All things in moderation', [Root.GetTitledFirstName] begins [Root.GetHerHis] treatise on culinary house-holding. The typical inhabitant of [Root.Capital.Capital.GetName] is rumored to have found the text a bit [Root.GetPublicOpinionOfWork].;'Tout est dans la modération', ainsi commence le traité [Root.Get_du_TitledFirstName] sur la cuisine familiale. L'habitant typique de [Root.Capital.Capital.GetName] aurait trouvé le texte un peu [Root.GetPublicOpinionOfWork].;Mit "Alles in Maßen genießen" beginnt die Abhandlung von [Root.GetTitledFirstName] über kulinarische Maßnahmen. Der gemeine Bürger von [Root.Capital.Capital.GetName] hat den Text allerdings offensichtlich als ein bisschen viel empfunden.;;'Todo con moderación', comienza [Root.GetTitledFirstName] su tratado sobre cocina doméstica. Se rumorea que el habitante ti`pico de  [Root.Capital.Capital.GetName] veía el texto un poco [Root.GetPublicOpinionOfWork].;;;;;;;;;x
mohammads_beard;Hair from the Beard of Mohammad;Poil de la barbe de Mahomet;Barthaar von Mohammed;;Pelo de Mahoma;;;;;;;;;x
mohammads_beard_desc;A clear glass reliquary that contains a single strand of hair from the beard of Muhammad, shaved after his death by the Prophet's favored barber.;Un reliquaire en verre clair qui contient un poil de la barbe de Mahomet, rasé après sa mort par le barbier du Prophète.;Ein Reliquienbehälter aus Glas, in dem sich ein einzelnes Barthaar des Propheten Mohammed befindet, das nach seinem Tode von seinem Hausbarbier aufbewahrt wurde.;;Un relicario de cristal transparente que contiene un solo pelo de la barba de Mahoma, afeitado después de su muerte por el barbero favorito del profeta.;;;;;;;;;x
mohammads_bowl;Mohammad's Bowl;Bol de Mahomet;Mohammeds Schale;;Cuenco de Mahoma;;;;;;;;;x
mohammads_bowl_desc;The bowl from which Mohammad drank soup prepared by his first wife Khadija.;Le bol à partir duquel Muhammad buvait de la soupe préparée par sa première femme Khadija.;Die Schale, aus der Mohammed Suppe trank, die ihm von seiner ersten Frau Khadija kredenzt wurde.;;El cuenco del que Mahoma bebía la sopa que le preparaba su primera mujer, Jadiya.;;;;;;;;;x
mountain_of_light_diamond;The Mountain of Light;La Montagne de Lumière;Der Berg des Lichts;;La Montaña de Luz;;;;;;;;;x
mountain_of_light_diamond_desc;This diamond, of unseen proportions, has an origin shrouded in mystery. It has been part of many royal treasuries, and it is claimed to be the cause of both the rise and sudden fall of entire dynasties.;Ce diamant, aux dimensions jamais vues, a une origine mystérieuse. Il a fait partie de beaucoup de trésors royaux, et il est réputé être la cause de la hausse ou de la chute soudaine de dynasties entières.;Dieser Diamant ist von unerhörter Größe. Seine Herkunft ist legendenumwoben. Er war Teil so mancher königlichen Schatzkammer und man behauptet, er sei die Ursache für den Aufstieg und Fall ganzer Dynastien.;;El origen de este diamante, de proporciones insólitas, está rodeado de misterio. Ha formado parte de muchos tesoros reales, y se dice que ha provocado tanto el ascenso como la caída de varias dinastías.;;;;;;;;;x
my_fechtbuch;The Fechtbuch;Le Fechtbuch;Das Fechtbuch;;El Fechtbuch;;;;;;;;;x
my_fechtbuch_desc;Composed by [Root.GetBestName] as an instruction manual for close combat fighting, this book is a reliable source of information for anybody interested in the fighting style of a [From.OriginalOwner.Culture.GetName] duelist.;Composé par [From.OriginalOwner.Get_only_le_Title][From.OriginalOwner.GetBestName], un manuel d'instruction sur le combat rapproché. Ce livre est une source fiable d'informations pour quiconque s'intéresse au style de combat d'un duelliste [From.OriginalOwner.GetCultureMasc].;Von [Root.GetBestName] als Anleitung für den Nahkampf geschrieben, ist dieses Buch eine zuverlässige Quelle an Informationen für alle, die sich für den Kampfstil der [From.OriginalOwner.Culture.GetName]en Duellanten interessieren.;;Realizado por [Root.GetBestName], es un manual de instrucción para el combate cuerpo a cuerpo. Es una fuente fiable de información para todo el que esté interesado en el estilo de lucha de un duelista [From.OriginalOwner.Culture.GetName].;;;;;;;;;x
my_fechtbuch_rename;[Root.GetFirstName]'s Fechtbuch;Fechtbuch de [Root.GetFirstName];Das Fechtbuch von [Root.GetFirstName];;El Fechtbuch de [Root.GetFirstName];;;;;;;;;x
necklace_of_radiance;Necklace of Radiance;Collier de rayonnement;Halskette des Glanzes;;Collar resplandeciente;;;;;;;;;x
necklace_of_radiance_desc;When the light hits it, the gold and rubies of this necklace sparkle as if on fire.;Lorsque la lumière le frappe, l'or et les rubis de ce collier scintillent comme si c'était en feu.;Wenn das Licht auf diese Halskette fällt, funkeln ihr Gold und ihre Rubine, als würden sie brennen.;;Cuando le da la luz, el oro y los rubíes de este collar resplandecen como si estuvieran ardiendo.;;;;;;;;;x
necronomicon;The Necronomicon;Le Nécronomicon;Das Necronomicon;;El Necronomicón;;;;;;;;;x
necronomicon_desc;A mysterious book dealing about the strange spheres beyond. Many strange and unholy truths are recorded on its pages...;Un livre mystérieux traitant des sphères étranges de l'au-delà. De nombreuses vérités étranges et impies sont inscrites sur ses pages...;Ein geheimnisvolles Buch, das von den seltsamen jenseitigen Sphären handelt. Viele seltsame und unheilige Wahrheiten sind auf seinen Seiten verzeichnet ...;;Un misterioso libro que trata sobre las extrañas esferas del más allá. Muchas verdades extrañas e impías están escritas en sus páginas.;;;;;;;;;x
noble_scepter;Noble Scepter;Sceptre noble;Adelszepter;;Cetro noble;;;;;;;;;x
noble_scepter_desc;This scepter signifies its holder's right to rule. The gilded rod is adorned with pearls and garnets.;Ce sceptre signifie un droit pour son détenteur à régner. La tige dorée est ornée de perles et de grenats.;Dieses Zepter versinnbildlicht den Herrschaftsanspruch des Eigentümers. Der vergoldete Stab ist mit Perlen und Granaten geschmückt.;;Este cetro representa el derecho de su propietario a gobernar. La vara dorada está adornada con perlas y granates.;;;;;;;;;x
notes_from_a_kitchen;Notes From A Kitchen;Notes depuis une cuisine;Notizen aus der Küche;;Notas de una cocina;;;;;;;;;x
notes_from_a_kitchen_desc;An intriguing tale of a kitchen boy who falls in love with a princess. [From.OriginalOwner.GetTitledFirstName] always claimed it was based on a true story.;Le récit intrigant d'un garçon de cuisine qui tombe amoureux d'une princesse. [From.OriginalOwner.Get_Le_TitledFirstName] a toujours affirmé que c'était basé sur une histoire vraie.;Eine faszinierende Geschichte eines Küchenjungen, der sich in eine Prinzessin verliebt hat. [From.OriginalOwner.GetTitledFirstName] behauptet, dass es auf einer wahren Begebenheit basiert.;;Un cuento fascinante de un pinche de cocina que se enamora de una princesa. [From.OriginalOwner.GetTitledFirstName] siempre afirmó que basaba en una historia real.;;;;;;;;;x
obsidian_axe;Obsidian Axe;Hache d'obsidienne;Obsidianaxt;;Hacha de obsidiana;;;;;;;;;x
obsidian_axe_desc;The shape of this axe is simple because the material is impressive enough on its own. The head is made from the blackest and glossiest of obsidian.;La forme de cette hache est simple parce que le matériau est assez impressionnant en lui-même. Le haut est fait de l'obsidienne la plus noire et la plus brillante.;Die Form dieser Axt ist sehr schlicht, weil das Material allein schon eindrucksvoll genug ist. Der Kopf besteht aus tiefschwarzem, stark glänzendem Obsidian.;;La forma de esta hacha es sencilla porque el material es bastante impresionante de por sí. La cabeza está hecha de la obsidiana más negra y lustrosa.;;;;;;;;;x
