caught_with_forgery;Forgery Discovered;Contrefaçon découverte;Fälschung entdeckt;;Falsificación descubierta;;;;;;;;x
ate_beating_heart;Heart-Eater;Mange des coeurs;Herzfresser;;Comecorazones;;;;;;;;x
religious_tolerance;Religious Tolerance;Tolérance religieuse;Religiöse Toleranz;;Tolerancia religiosa;;;;;;;;x
religious_tolerance_desc;The Ruler has given signs of Religious Tolerance to the population.;Le dirigeant a donné des signes de tolérance religieuse à la population.;Der Herrscher hat der Bevölkerung Zeichen religiöser Toleranz gegeben.;;El gobernante ha dado a la población señales de tolerancia religiosa.;;;;;;;;x
weak_leader_modifier;Weak Leader;Chef faible;Schwacher Anführer;;Líder débil;;;;;;;;x
weak_leader_modifier_desc;Could not control [GetHerHis] own troops.;N'a pas pu contrôler ses propres troupes.;Dieser Anführer konnte nicht einmal die eigenen Truppen kontrollieren.;;No pudo controlar sus propias tropas;;;;;;;;x
strong_leader_modifier;Strong Leader;Chef fort;Starker Anführer;;Líder fuerte;;;;;;;;x
strong_leader_modifier_desc;Does not tolerate indiscipline in the army.;Ne tolère pas l'indiscipline dans son armée.;Duldet keine Undiszipliniertheit in der Armee.;;No tolera la indisciplina en el ejército.;;;;;;;;x
plundering_leader_modifier;Plundering Leader;Chef pillard;Plündernder Anführer;;Líder saqueador;;;;;;;;x
plundering_leader_modifier_desc;Likes to sack and plunder.;Aime piller.;Mag es zu brandschatzen und zu plündern.;;Le gusta saquear y rapiñar.;;;;;;;;x
green_fingers_desc;This [GetGirlWomanBoyMan] has a way with plants.;Ce personnage a un don avec les plantes.;Dieser Charakter kann gut mit Pflanzen umgehen.;;Este personaje tiene buena mano con las plantas.;;;;;;;;;x
dirty_hands;Dirty Hands;Mains sales;Schmutzige Hände;;Manos sucias;;;;;;;;;x
dirty_hands_desc;This [GetGirlWomanBoyMan] tried [GetHerHis] hand at gardening, but all [GetSheHe] got was dirty.;Ce personnage a essayé de jardiner, mais tout ce qu'il a réussi à faire, c'est se salir.;Dieser Charakter hat sein Glück mit der Gartenarbeit versucht, sich aber dabei nur schmutzig gemacht.;;Este personaje intentó dedicarse a la jardinería, pero solo sabe mancharse de tierra.;;;;;;;;;x
the_name_of_the_rose;The Name of the Rose;Le Nom de la Rose;Der Name der Rose;;El nombre de la rosa;;;;;;;;;x
the_name_of_the_rose_desc;This [GetGirlWomanBoyMan] has a keen interest in the cultivation of roses.;Ce personnage a un vif intérêt pour la culture des roses.;Dieser Charakter hat ein großes Interesse an der Rosenzucht.;;Este personaje tiene un gran interés en cultivar rosas.;;;;;;;;;x
rose_gardens;Rose Gardens;Roseraies;Rosengärten;;Jardines de rosas;;;;;;;;;x
rose_gardens_desc;Roses, in a multitude of colors, are found in the gardens of this [GetGirlWomanBoyMan].;Des roses, dans une multitude de couleurs, se trouvent dans les jardins de ce personnage.;In den Gärten dieses Charakters wachsen Rosen in vielen verschiedenen Farben.;;Rosas de todos los colores se encuentran en los jardines de este personaje.;;;;;;;;;x
bruised_knuckles;Bruised Knuckles;Blessures aux poings;Knöchelprellung;;Nudillos magullados;;;;;;;;;x
mediator;Mediator;Médiation;Vermittler;;Mediador;;;;;;;;;x
mediator_desc;This [GetGirlWomanBoyMan] is proficient at calming down threatening social situations.;Ce personnage est capable de calmer les situations sociales menaçantes.;Diese Person versteht sich hervorragend darauf, bedrohliche gesellschaftliche Situationen zu beschwichtigen.;;Este personaje es diestro en apaciguar las situaciones sociales delicadas.;;;;;;;;;x
well_fed;Well-Fed;Se nourrit bien;Wohlgenährt;;Bien alimentado;;;;;;;;;x
well_fed_desc;This [GetGirlWomanBoyMan] has a habit of eating well, and receives all the benefits to health that that entails.;Ce personnage a l'habitude de bien manger, et en reçoit donc les bénéfices sur sa santé.;Diese Person pflegt die Gewohnheit, gut zu essen, und kommt dadurch in den Genuss aller damit verbundenen gesundheitlichen Vorteile.;;Este personaje está acostumbrado a comer bien, y su salud se beneficia de ello.;;;;;;;;;x
apathetic;Apathetic;Apathique;Phlegmatisch;;Apatía;;;;;;;;;x
apathetic_desc;This [GetGirlWomanBoyMan] has reoccurring apathetic episodes which prevents [GetHerHim] from living an ordinary life.;Ce personnage a des épisodes apathiques récurrents qui l'empêchent d'avoir une vie ordinaire.;Diese Person leidet zuweilen an phlegmatischen Gemütszuständen, die sie daran hindern, ein normales Leben zu führen.;;Este personaje tiene episodios repetidos de apatía, lo que le impide tener una vida normal.;;;;;;;;;x
cheap_laboratory;Simple Laboratory;Simple laboratoire;Einfaches Labor;;Laboratorio sencillo;;;;;;;;;x
cheap_laboratory_desc;In order to conduct experiments in an efficient way this [GetGirlWomanBoyMan] has constructed a small laboratory. It is not the most impressive of alchemical offices but it has the necessities needed to heat, melt and distill various substances.;Afin de mener des expériences de manière efficace, ce personnage a construit un petit laboratoire. Ce n'est pas le plus impressionnant en alchimie, mais il contient les choses indispensables pour chauffer, fondre et distiller diverses substances.;Um Experimente effizient durchführen zu können, hat diese Person ein kleines Labor gebaut. Es ist zwar nicht das beeindruckendste aller alchemistischen Labors, doch es beherbergt alle nötigen Vorrichtungen zum Erhitzen, Schmelzen und Destillieren verschiedener Substanzen.;;Para realizar experimentos de forma eficiente, este personaje ha construido un pequeño laboratorio. No es un laboratorio de alquimia impresionante, pero tiene todo lo necesario para calentar, fundir y destilar diversas sustancias.;;;;;;;;;x
normal_laboratory;Laboratory;Laboratoire;Labor;;Laboratorio;;;;;;;;;x
normal_laboratory_desc;In order to conduct experiments in an efficient way this [GetGirlWomanBoyMan] has constructed a laboratory. It has the basic necessities needed to heat, distill, putrefy and combine various metals and other substances.;Afin de mener des expériences de manière efficace, ce personnage a construit un laboratoire. Il contient les choses indispensables pour chauffer, distiller, putréfier et combiner divers métaux et autres substances.;Um Experimente effizient durchführen zu können, hat diese Person ein Labor gebaut. Es verfügt über die grundlegenden Vorrichtungen, die zum Erhitzen, Destillieren, Reinigen und Kombinieren verschiedener Metalle und anderer Substanzen vonnöten sind.;;Para realizar experimentos de forma eficiente, este personaje ha construido un laboratorio. Tiene los instrumentos básicos necesarios para calentar, destilar, descomponer y combinar varios metales y otras sustancias.;;;;;;;;;x
good_laboratory;Impressive Laboratory;Impressionnant laboratoire;Beeindruckendes Labor;;Laboratorio impresionante;;;;;;;;;x
good_laboratory_desc;This [GetGirlWomanBoyMan] has spent considerable time and money to build a laboratory where metals and other substances can be manipulated. The setup has attracted some attention from others and is the envy of poorer dabblers in the esoteric arts.;Ce personnage a consacré beaucoup de temps et d'argent à construire un laboratoire où les métaux et autres substances peuvent être manipulés. L'installation a attiré une certaine attention des autres, et est enviée par les amateurs plus pauvres des arts ésotériques.;Diese Person hat eine beträchtliche Menge an Zeit und Geld dafür aufgewendet, ein Labor zu bauen, in dem mit Metallen und anderen Substanzen gearbeitet werden kann. Die Einrichtung hat die Aufmerksamkeit anderer auf sich gezogen und den Neid ärmerer Dilettanten auf dem Gebiet der esoterischen Künste erregt.;;Este personaje ha invertido un tiempo y dinero considerables para construir un laboratorio donde trabajar con metales y otras sustancias. El laboratorio ha llamado la atención de algunos y es la envidia de los aficionados más pobres del arte esotérico.;;;;;;;;;x
great_laboratory;State of the Art Laboratory;Laboratoire avec équipement de pointe;Hochmodernes Labor;;Laboratorio de última generación;;;;;;;;;x
great_laboratory_desc;This [GetGirlWomanBoyMan] has spent both time and a small fortune to construct a proper office where alchemical experiments can be performed. This laboratory is built to be able to handle any experiment currently documented and employs a small team of helpers to keep all the furnaces going at all times.;Ce personnage a passé du temps et dépensé une petite fortune pour construire un lieu approprié où les expériences alchimiques peuvent être effectuées. Ce laboratoire est construit pour être en mesure de gérer toute expérience actuellement documentée, et emploie une petite équipe d'assistants pour garder tous les fours fonctionnels à tout moment.;Diese Person hat Zeit und ein kleines Vermögen dafür aufgewendet, ein geeignetes Labor zu bauen, in dem alchemistische Experimente durchgeführt werden können. Dieses Labor wurde dafür gebaut, jedes bisher dokumentierte Experiment durchführen zu können, und beschäftigt eine kleine Gruppe von Gehilfen, die stets alle Öfen in Gang halten.;;Este personaje ha invertido tiempo y una pequeña fortuna en construir un laboratorio adecuado en el que llevar a cabo experimentos de alquimia. Este laboratorio se ha creado para poder realizar cualquier experimento documentado hasta la fecha, y emplea a un pequeño equipo de ayudantes para mantener los hornos encendidos en todo momento.;;;;;;;;;x
best_laboratory;Famous Laboratory;Laboratoire célèbre;Berühmtes Labor;;Laboratorio famoso;;;;;;;;;x
best_laboratory_desc;Equal parts brilliance, deep pockets and rigorous discipline has allowed this [GetGirlWomanBoyMan] to build a palace of the alchemical arts. This laboratory is not only large in size it is pioneering a number of new techniques to manipulate and combine the many substances of the world.;Une intelligence supérieure, de gros moyens et une discipline rigoureuse ont permis à ce personnage de construire un palais des arts alchimiques. Ce laboratoire est non seulement de grande taille, mais aussi pionnier d'un certain nombre de nouvelles techniques pour manipuler et combiner les nombreuses substances du monde.;Genialität, ein großes Vermögen und strenge Disziplin haben es dieser Person ermöglicht, einen Palast der alchemistischen Künste zu bauen. Dieses Labor ist nicht nur groß, sondern ermöglicht auch zahlreiche neue Verfahren, um mit den vielen Substanzen der Welt zu arbeiten und sie miteinander zu verbinden.;;La genialidad, unos bolsillos profundos y una disciplina rigurosa a partes iguales han permitido a este personaje construir un palacio de las artes alquímicas. Este laboratorio no solo es grande en tamaño, sino que además es pionero en una serie de técnicas nuevas para manipular y combinar las variadísimas sustancias del mundo.;;;;;;;;;x
good_battle_omen;Encouraging Vision;Vision encourageante;Ermutigende Vision;;Visión alentadora;;;;;;;;;x
good_battle_omen_desc;This [GetGirlWomanBoyMan] is convinced that [GetSheHe] have seen the future and that something great awaits [GetHerHim] on the battlefield.;Ce personnage est convaincu avoir vu le futur et que quelque chose de grand allait lui arriver sur le champ de bataille.;Diese Person ist überzeugt davon, die Zukunft gesehen zu haben, und dass dort auf dem Schlachtfeld etwas Großartiges auf sie wartet.;;Este personaje está convencido de haber visto el futuro y de que algo maravilloso aguarda en el campo de batalla.;;;;;;;;;x
bad_battle_omen;Fearful Vision;Vision effrayante;Beängstigende Vision;;Visión desalentadora;;;;;;;;;x
bad_battle_omen_desc;This [GetGirlWomanBoyMan] is convinced that [GetSheHe] have seen the future and that something terrible awaits [GetHerHim] on the battlefield.;Ce personnage est convaincu avoir vu le futur et que quelque chose de terrible allait lui arriver sur le champ de bataille.;Diese Person ist überzeugt davon, die Zukunft gesehen zu haben, und dass dort auf dem Schlachtfeld etwas Furchtbares auf sie wartet.;;Este personaje está convencido de haber visto el futuro y de que algo terrible aguarda en el campo de batalla.;;;;;;;;;x
good_relationship_omen;Pleasing Vision;Vision plaisante;Angenehme Vision;;Visión placentera;;;;;;;;;x
good_relationship_omen_desc;This [GetGirlWomanBoyMan] is under the belief that the future holds something wonderful for [GetHerHim] and someone [GetSheHe] care about.;Ce personnage croit que le futur réserve quelque chose de merveilleux, à lui et à quelqu'un dont il se soucie.;Diese Person unterliegt dem Glauben, dass die Zukunft etwas Wundervolles für sie und eine ihr nahestehende Person bereithält.;;Este personaje cree que el futuro aguarda algo maravilloso para él y para un ser querido.;;;;;;;;;x
bad_relationship_omen;Distressing Vision;Vision pénible;Quälende Vision;;Visión alarmante;;;;;;;;;x
bad_relationship_omen_desc;This [GetGirlWomanBoyMan] is under the belief that something unfortunate awaits [GetHerHim] and someone [GetSheHe] care about.;Ce personnage croit que le futur réserve quelque chose d'affreux, à lui et à quelqu'un dont il se soucie.;Diese Person unterliegt dem Glauben, dass die Zukunft etwas Tragisches für sie und eine ihr nahestehende Person bereithält.;;Este personaje cree que algo desafortunado les aguarda a él y a un ser querido.;;;;;;;;;x
good_power_omen;Reassuring Vision;Vision rassurante;Beruhigende Vision;;Visión tranquilizadora;;;;;;;;;x
good_power_omen_desc;This [GetGirlWomanBoyMan] is under the belief that something wonderful awaits [GetHerHim] and [GetHerHis] realm.;Ce personnage croit que quelque chose de merveilleux va arriver, à lui et à son pays.;Diese Person unterliegt dem Glauben, dass die Zukunft etwas Wunderbares für sie und ihr Reich bereithält.;;Este personaje cree que algo maravilloso les aguarda a él y a su reino.;;;;;;;;;x
bad_power_omen;Upsetting Vision;Vision bouleversante;Verstörende Vision;;Visión angustiante;;;;;;;;;x
bad_power_omen_desc;This [GetGirlWomanBoyMan] is under the belief that something disastrous awaits [GetHerHim] and [GetHerHis] realm.;Ce personnage croit que quelque chose de désastreux va arriver, à lui et à son pays.;Diese Person unterliegt dem Glauben, dass die Zukunft etwas Katastrophales für sie und ihr Reich bereithält.;;Este personaje cree que algo desastroso les aguarda a él y a su reino.;;;;;;;;;x
fulfilled_vision_great;Confident Seer;Voyant confiant;Überzeugter Seher;;Vidente confiado;;;;;;;;;x
fulfilled_vision_great_desc;There is a tenacity to this [GetGirlWomanBoyMan], as [GetSheHe] believes [GetSheHe] can definitely predict the future.;Ce personnage est tenace, car il croit qu'il peut tout à fait prédire l'avenir.;Diese Person ist voller Beharrlichkeit, denn sie glaubt fest daran, die Zukunft voraussagen zu können.;;Este personaje es tenaz, pues cree que puede llegar a predecir el futuro.;;;;;;;;;x
fulfilled_vision_ok;Aspiring Seer;Voyant en herbe;Ehrgeiziger Seher;;Vidente esperanzado;;;;;;;;;x
fulfilled_vision_ok_desc;There is an open-mindedness to this [GetGirlWomanBoyMan], as [GetSheHe] believes it should be possible to predict the future.;Ce personnage est ouvert d'esprit, car il croit qu'il devrait être possible de prédire l'avenir.;Diese Person ist voller Offenheit, denn sie glaubt an die Möglichkeit, die Zukunft voraussagen zu können.;;Este personaje tiene amplitud de miras, pues cree que puede ser capaz de predecir el futuro.;;;;;;;;;x
fulfilled_vision_bad;Hesitant Seer;Voyant hésitant;Zögerlicher Seher;;Vidente dubitativo;;;;;;;;;x
fulfilled_vision_bad_desc;This [GetGirlWomanBoyMan] has a willingness to learn, as [GetSheHe] has failed to predict the future at least once.;Ce personnage a une volonté d'apprendre, car il n'a pas prédit l'avenir au moins une fois.;Diese Person zeigt die Bereitschaft zu lernen, denn sie hat mindestens einmal die Zukunft nicht voraussagen können.;;Este personaje tiene disposición a aprender, pues no ha logrado predecir el futuro ni una vez.;;;;;;;;;x
fulfilled_vision_worst;Distraught Seer;Voyant égaré;Hoffnungsloser Seher;;Vidente consternado;;;;;;;;;x
fulfilled_vision_worst_desc;This [GetGirlWomanBoyMan] is doubting [GetHerHis] own abilities, as [GetSheHe] has repeatedly failed to predict the future.;Ce personnage met en doute ses propres capacités, car il n'a pas réussi à prédire l'avenir.;Diese Person hat Zweifel an den eigenen Fähigkeiten, denn sie hat wiederholt die Zukunft nicht voraussagen können.;;Este personaje duda de sus propias habilidades, pues ha fracasado reiteradamente en predecir el futuro.;;;;;;;;;x
