# Vanilla
alcohol_gift_decision;Send Alcohol Gift;Offrir de l'alcool;Alkohol-Geschenk schicken;;Enviar regalo de alcohol;;;;;;;;;x
celebrate_jashan_e_sadah_desc;Invite your vassals to celebrate the Sadeh festival.;Inviter vos vassaux à la fête de Sadeh.;Vasallen zum Sadeh-Fest einladen;;Invita a tus vasallos a celebrar el festival de Sadeh;;;;;;;;;x
china_invade_dragon_throne;Invade the [offmap_china.GetFullName];Envahir l'[offmap_china.GetFullName];Invasion ins [offmap_china.GetShortName];;Invadir el [offmap_china.GetFullName];;;;;;;;;x
china_invade_dragon_throne_desc;The §Y[offmap_china.GetFullName]§! is stable and prospering, with the arrogant [offmap_china.Ruler.GetEmperorEmpress] convinced of their invincibility - you will prove them wrong!\n\nInvading China is no easy task - you will face the full might of their armies, while suffering a §R75%§! penalty to your §YLevy Reinforcement Rate§!. Winning means placing your §YDynasty§! on the Dragon Throne, and you will also receive vast spoils of war. If you lose your realm will be §Rshattered§!!;L'§Y[offmap_china.GetFullName]§! est stable et prospère, et l'arrogant[offmap_china.Ruler.Get_E] [offmap_china.Ruler.GetEmperorEmpress] est convaincu[offmap_china.Ruler.Get_E] de son invincibilité - vous allez lui prouver qu'[offmap_china.Ruler.GetIlElle] se trompe !\n\nEnvahir la Chine ne sera pas chose facile - vous ferez face à la pleine puissance de son armée, tout en subissant une pénalité de §R75%§! concernant votre §Yrenforcement des levées§!. La victoire signifierait la montée de votre dynastie sur le trône du Dragon, et un important butin de guerre. La défaite, quant à elle, engendrera le §Rdémembrement§! de votre pays !;Das §Y[offmap_china.GetFullName]§! ist stabil und gedeiht. [offmap_china.Ruler.GetDerDie] arrogante [offmap_china.Ruler.GetEmperorEmpress] ist von [offmap_china.Ruler.GetHerHis]er Unbesiegbarkeit überzeugt. Wir werden [offmap_china.Ruler.Getihnsie] eines Besseren belehren!\n\nChina zu überfallen ist keine leichte Aufgabe. Ihr werdet der geballten Macht ihrer Armeen gegenüberstehen und erhaltet eine Strafe von §R75%§! auf Eure §YVerstärkungsrate (Lehnstruppen)§!. Bei einem Sieg werdet Ihr Eure §YDynastie§! auf den Drachenthron setzen. Zusätzlich werdet Ihr reichlich Kriegsbeute erhalten. Wenn Ihr verliert, wird Euer Reich §Raufgelöst§! werden!;;El §Y[offmap_china.GetFullName]§! es estable y próspero, con es[offmap_china.Ruler.GetEA] arrogante [offmap_china.Ruler.GetEmperorEmpress] segur[offmap_china.Ruler.GetOA] de su invencibilidad, ¡pero le demostrarás que se equivoca!\n\nInvadir China no es tarea fácil. Te enfrentarás a toda la fuerza de sus ejércitos mientras que sufrirás una penalización del §R75%§! en §Ytasa de refuerzo de levas§!. Ganar significa poner a tu §Ydinastía§! en el trono del dragón, así como recibir un vasto botín de guerra. ¡Si pierdes, tu reino acabará §Rroto§!!;;;;;;;;;x
china_invade_dragon_throne_third_party;§YClaimant Requirements§!:;§YPrérequis pour un prétendant§!:;§YAnforderungen für Anspruchsteller§!;;§YRequisitos de pretendiente§!:;;;;;;;;;x
china_raid;Raid the [offmap_china.GetFullName];Piller l'[offmap_china.GetFullName];[offmap_china.GetFullName] überfallen;;Asalta el [offmap_china.GetFullName];;;;;;;;;x
china_raid_desc;The §Y[Root.Offmap.GetFullName]§! is overburdened with riches - why should we vie for the Emperor's grace when we could just take whatever we want!\n\nTaking this decision will temporarily §Rdisable§! all §YPay Tribute§! and §YAsk for Boon§! interactions for as long as the raid persists, and then five years after that. While Raiding China you will lose Grace but gain loot and spoils every year, a portion of your soldiers will also be unavailable for the duration of the raid.;L'§Y[Root.Offmap.GetFullName]§! a trop de richesses - pourquoi devrions-nous lutter pour obtenir la grâce de l'Empereur alors que nous pourrions simplement prendre ce que nous voulons !\n\nCette décision désactiverait les interactions '§YPayer un tribut§!' et '§YDemander une faveur§!' tant que les pillages persistent, puis pendant cinq ans. Piller la Chine vous ferait perdre de la Grâce, et une partie de vos troupes serait indisponible, mais vous gagneriez du butin chaque année.;Das §Y[Root.Offmap.GetFullName]§! ist mit seinem Reichtum überlastet. Warum sollten wir um die Gunst des Kaisers wetteifern, wenn wir einfach alles nehmen können, was wir wollen.\n\nDas Annehmen dieser Entscheidung §Rdeaktiviert§! für die Zeit des Überfalls und 5 Jahre danach §YTribut zahlen§! und §YNach Gefallen fragen§!. Während des Überfalls auf China verliert Ihr jährlich Gunst, erhaltet aber Beute. Außerdem ist ein Teil Eurer Soldaten für die Dauer des Überfalls nicht verfügbar.;;El §Y[Root.Offmap.GetFullName]§! está cargado de riquezas. ¿Por qué competir por la gracia del emperador si podemos coger todo lo que queramos?\n\nTomar esta decisión §Rdesactivará§! temporalmente todas las interacciones §YPagar tributo§! y §YPedir regalo§! mientras dure el asalto, y cinco años después. Perderás gracia mientras asaltes China, pero ganarás botín cada año y una parte de tus soldados no estará disponible mientras dure la incursión.;;;;;;;;;x
china_stop_raid;Stop Raiding the [offmap_china.GetFullName];Arrêter de piller l'[offmap_china.GetFullName];Überfall auf [offmap_china.GetFullName] beenden;;Dejar de asaltar China;;;;;;;;;x
china_stop_raid_desc;Raiding the §Y[Root.Offmap.GetFullName]§! is lucrative, but dangerous - we should withdraw our raiders from China.\n\nWe will no longer be considered a priority target, but neither will we be able to raid China again for 5 years.;Piller l'§Y[Root.Offmap.GetFullName]§! est lucratif, mais dangereux - nous devrions retirer nos pilleurs de la Chine.\n\nNous ne serions plus considérés comme une cible prioritaire et nous ne pourrions piller la Chine pendant cinq ans.;Das §Y[Root.Offmap.GetFullName]§! zu überfallen ist lukrativ, aber gefährlich. Wir sollten die Überfälle auf China einstellen.\n\nWir werden nicht mehr als vorrangiges Ziel betrachtet, aber werden auch nicht in der Lage sein, China für 5 Jahre zu überfallen.;;Asaltar el §Y[Root.Offmap.GetFullName]§! es lucrativo, pero peligroso. Debemos retirar a nuestros asaltantes de China.\n\nDejaremos de ser considerados un objetivo prioritario, pero tampoco podremos volver a asaltar China en cinco años.;;;;;;;;;x
china_tributary_break_free;Free Tributary;Tributaire libre;Tributstatus auflösen;;Tributario liberado;;;;;;;;;x
china_tributary_break_free_desc;You can declare war against the §Y[offmap_china.GetFullName]§! to free yourself from your status as an §YImperial Tributary§!. If §Y[offmap_china.GetShortName]§! is currently suffering from an §Rinvasion§! or a §Rcivil war§! then you can free yourself via a §Ydecision§! in the intrigue screen.;Vous pouvez déclarer une guerre à l'§Y[offmap_china.GetFullName]§! pour vous libérer de votre statut de tributaire impérial. Si la §Y[offmap_china.GetShortName]§! subit actuellement une §Rinvasion§! ou une §Rguerre civile§!, alors vous pouvez prendre la décision de vous libérer.;Ihr könnt §Y[offmap_china.GetFullName]§! den Krieg erklären, um Euch selbst vom Status eines §Ykaiserlichen Tributstaates§! zu befreien. Wenn §Y[offmap_china.GetShortName]§! momentan an einer §RInvasion§! oder einem §RBürgerkrieg§! leidet, könnt Ihr Euch per §YEntscheidung§! befreien.;;Puedes declarar la guerra al §Y[offmap_china.GetFullName]§! para liberarte de tu estatus como §Ytributario imperial§!. Si §Y[offmap_china.GetShortName]§! ya está sufriendo una §Rinvasión§! o una §Rguerra civil§!, entonces puede liberarte con una §Ydecisión§! en la pantalla de intriga.;;;;;;;;;x
chinese_administrator;Request Scholar-Bureaucrat;Demander un érudit-bureaucrate;Beamtengelehrten anfordern;;Solicitar burócrata erudito;;;;;;;;;x
chinese_administrator_desc;Through the rigorous imperial examinations, the §Y[Root.Offmap.GetFullName]§! has created a class of educated scholar-bureaucrats. You can request to have one of them serve you as an administrator. Having a §YScholar-Bureaucrat§! employed will reduce §GBuild Cost§! and §GBuild Time§!.;Grâce aux examens impériaux rigoureux, l'§Y[Root.Offmap.GetFullName]§! a créé une classe d'érudits-bureaucrates. Vous pouvez demander à l'un d'eux de vous servir d'administrateur. Avoir un §Yérudit-bureaucrate§! diminuera le §Gcoût de construction§! et le §Gtemps de construction§!.;Durch rigorose kaiserliche Prüfungen hat das §Y[Root.Offmap.GetFullName]§! eine Klasse gebildeter Beamtengelehrter geschaffen. Ihr könnt die Anfrage stellen, dass einer von ihnen als Verwalter an Eurem Hof dient. Die Anstellung eines §YBeamtengelehrten§! reduziert §GBaukosten§! und §GBaudauer§!.;;Mediante los rigurosos exámenes imperiales, el §Y[Root.Offmap.GetFullName]§! ha creado una clase de burócratas eruditos educados. Puedes pedir que uno de ellos te sirva como administrador. Emplear a un §Yburócrata erudito§! reducirá §Gcostes§! y §Gtiempo de construcción§!;;;;;;;;;x
chinese_artifact;Request Chinese Artifact;Demander un artefact chinois;Chinesisches Artefakt anfordern;;Solicita artefacto chino;;;;;;;;;x
chinese_artifact_desc;The craftsmen and artists of the §Y[Root.Offmap.GetFullName]§! are famed for creating masterful and beautiful art. You can request to have one of these artifacts sent to you. You will receive a random artifact ranging from quality §Y1§! to §Y3§!.;Les artisans et artistes de l'§Y[Root.Offmap.GetFullName]§! sont réputés pour créer des chefs-d'oeuvre. Vous pouvez demander qu'un vous soit envoyé. Vous recevrez un artefact aléatoire allant de la qualité §Y1§! à §Y3§!.;Die Handwerker und Künstler vom §Y[Root.Offmap.GetFullName]§! sind berühmt für die Schaffung meisterhafter und schöner Kunst. Ihr könnt eines dieser Artefakte anfordern und erhaltet so ein zufälliges Artefakt der Qualität §Y1§! bis §Y3§!.;;Los artesanos y artistas del §Y[Root.Offmap.GetFullName]§! son famosos por crear obras de arte magistrales y hermosas. Puedes solicitar que se te envíe uno de estos artefactos. Recibirás un artefacto aleatorio de calidad entre §Y1§! y §Y3§!.;;;;;;;;;x
chinese_grace_become_tributary;Become Tributary;Devenir tributaire;Tributstaat werden;;Convertirse en tributario;;;;;;;;;x
chinese_grace_become_tributary_desc;Pledge your allegiance to §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Jurer allégeance à l'§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Schwört §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! die Treue.;;Jura lealtad a §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;;;;;;;;;x
chinese_grace_doctor;Request Chinese Physician;Demander un physicien chinois;Chinesischen Arzt anfordern;;Solicitar médico chino;;;;;;;;;x
chinese_grace_doctor_desc;The §Y[Root.Offmap.GetFullName]§! is famed for their learned citizens. You can request to have one of these scholars come to your court and serve as your personal physician. This character always has the §YPhysician§! trait.;L'§Y[Root.Offmap.GetFullName]§! est célèbre pour ses savants. Vous pouvez demander à l'un de ces chercheurs de venir à votre cour et de servir de physicien personnel. Ce personnage a toujours le trait §YPhysicien§!.;Das §Y[Root.Offmap.GetFullName]§! ist für seine gebildeten Bürger bekannt. Ihr könnt die Anfrage stellen, dass einer dieser Gelehrter Eurem Hof beitritt und als persönlicher Arzt fungiert. Dieser Charakter hat immer die Eigenschaft §YArzt§!.;;El §Y[Root.Offmap.GetFullName]§! es celebre por la erudición de sus ciudadanos. Puede solicitar que uno de estos sabios venga a tu corte a servir como médico personal. Este personaje tiene el rasgo §Ymédico§!.;;;;;;;;;x
chinese_grace_offer_artifact;Send Artifact;Envoyer l'artefact;Artefakte schicken;;Enviar artefacto;;;;;;;;;x
chinese_grace_offer_artifact_desc;Send an invaluable artifact to §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Envoyez un artefact inestimable à l'§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Sendet §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! ein unschätzbares Artefakt.;;Enviar artefacto inestimable a §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;;;;;;;;;x
chinese_grace_offer_artifact_third_party;§YArtifact Requirements§!:;§YPrérequis pour un artefact§!:;§YAnforderungen für Artefakte§!;;§YRequisitos de artefacto§!:;;;;;;;;;x
chinese_grace_offer_commander;Send a Commander;Envoyer un commandant;Kommandanten entsenden;;Enviar un comandante;;;;;;;;;x
chinese_grace_offer_commander_desc;As the §Y[Root.Offmap.GetFullName]§! is in a state of turmoil, you can offer up one of your most gifted commanders to go and join the [Root.Offmap.GetShortName] Army as an auxiliary officer.;Puisque l'§Y[Root.Offmap.GetFullName]§! traverse une période de troubles, vous pourriez leur proposer d'envoyer un de vos plus talentueux commandants afin qu'il rejoigne l'armée de la [Root.Offmap.GetShortName] en tant qu'officier auxiliaire.;Da §Y[Root.Offmap.GetFullName]§! in einem Zustand des Aufruhrs ist, können wir ihnen anbieten, einen unserer begabtesten Kommandanten zu schicken, um der [Root.Offmap.GetShortName]-Armee als Hilfsoffizier beizutreten.;;Como el §Y[Root.Offmap.GetFullName]§! está en un estado de caos puedes ofrecer a uno de tus comandantes de mayor talento para unirse al ejército de [Root.Offmap.GetShortName] como oficial auxiliar.;;;;;;;;;x
chinese_grace_offer_commander_third_party;§YCommander Requirements§!:;§YPrérequis pour un commandant§!:;§YAnforderungen für Kommandanten§!;;§YRequisitos de comandante§!:;;;;;;;;;x
chinese_grace_offer_concubine;Send a Concubine;Envoyer une concubine;Konkubine entsenden;;Enviar una concubina;;;;;;;;;x
chinese_grace_offer_concubine_desc;Offer up one of your courtiers, to be sent to live out their life in the §Y[Root.Offmap.GetFullName]§!, in the service of the Emperor.\n;Offrir à une de vos courtisanes d'aller vivre dans l'§Y[Root.Offmap.GetFullName]§!, au service de l'Empereur.\n;Bietet einem Eurer Höflinge an, sein Leben im Dienste des Kaisers im §Y[Root.Offmap.GetFullName]§! zu verbringen.\n;;Ofrece enviar a alguien de tu corte a vivir al §Y[Root.Offmap.GetFullName]§! al servicio del Emperador.\n;;;;;;;;;x
chinese_grace_offer_concubine_third_party;§YConcubine Requirements§!:;§YPrérequis pour une concubine§!;§YAnforderungen für Konkubinen§!;;§YRequisitos de concubinato§!:;;;;;;;;;x
chinese_grace_offer_eunuch;Send a Eunuch;Envoyer un eunuque;Eunuchen entsenden;;Enviar un eunuco;;;;;;;;;x
